TmktTeam;Country;Div;ID
Beerschot AC;Netherlands;1;566
Plymouth Argyle;England;2;2262
FC Portsmouth;England;2;1020
US Boulogne;France;2;7042
Grenoble Foot 38;France;2;1290
FC Le Mans;France;2;1164
Alemannia Aachen;Germany;2;8
TuS Koblenz;Germany;2;996
Rot Weiss Ahlen;Germany;2;50
Rot-Weiß Oberhausen;Germany;2;57
Robur Siena;Italy;2;1387
US Lecce;Italy;2;1005
Biancoscudati Padova;Italy;2;3037
Piacenza Calcio 1919;Italy;2;1408
Reggina Calcio;Italy;2;1386
US Salernitana 1919;Italy;2;380
Ascoli Picchio;Italy;2;408
A.S.D. Gallipoli;Italy;2;10348
US Ancona;Italy;2;1388
US Grosseto;Italy;2;4333
Piacenza Calcio 1919;Italy;2;1408
SS Juve Stabia;Italy;2;5587
AS Gubbio 1910;Italy;2;4326
ASG Nocerina;Italy;2;4114
Naval 1? de Maio;Portugal;1;4814
Uni?o Leiria;Portugal;1;2639
Deportivo Xerez;Portugal;1;134
Hércules Alicante;Spain;2;7971
SD Huesca;Spain;2;5358
UD Salamanca;Spain;2;1087
FC Cartagena;Spain;2;7077
CD Castellón;Spain;2;2502
Real Unión Irún;Spain;2;12405
FC Cádiz;Spain;2;2687
FC Villarreal B;Spain;2;11972
Gimn?stic de Tarragona;Spain;2;5648
CD Alcoyano;Spain;2;11259
CD Guadalajara;Spain;2;16576
Real Madrid B (Castilla);Spain;2;6767
FC Real Jaén;Spain;2;666
MKE Ankaragücü;Turkey;2;868
Diyarbakirspor;Turkey;2;845
