TmktTeam;FdataTeam;Correction
KSC Lokeren;Lokeren;
KV Kortrijk;Kortrijk;
KV Mechelen;Mechelen;
Cercle Brügge;Cercle Brugge;
FC Brügge;Club Brugge;
KAA Gent;Gent;
KRC Genk;Genk;
RSC Charleroi;Charleroi;
RSC Anderlecht;Anderlecht;
KV Oostende;Oostende;
Standard Lüttich;Standard;
SV Zulte Waregem;Waregem;
Lierse SK;Lierse;
KVC Westerlo;Westerlo;
KSV Roeselare;Roeselare;
KAS Eupen;Eupen;
VV St. Truiden;St Truiden;
RAEC Mons;Bergen;
Beerschot AC;Germinal;*
AFC Sunderland;Sunderland;
FC Arsenal;Arsenal;
FC Burnley;Burnley;
Manchester United;Man United;
Birmingham City;Birmingham;
Manchester City;Man City;
FC Chelsea;Chelsea;
FC Everton;Everton;
FC Liverpool;Liverpool;
FC Southampton;Southampton;
Newcastle United;Newcastle;
Hull City;Hull;
Leicester City;Leicester;
Queens Park Rangers;QPR;
Blackburn Rovers;Blackburn;
Bolton Wanderers;Bolton;
Derby County;Derby;
Stoke City;Stoke;
Tottenham Hotspur;Tottenham;
FC Fulham;Fulham;
West Bromwich Albion;West Brom;
West Ham United;West Ham;
Swansea City;Swansea;
FC Blackpool;Blackpool;
Sheffield Wednesday;Sheffield Weds;
Norwich City;Norwich;
FC Reading;Reading;
FC Middlesbrough;Middlesbrough;
Nottingham Forest;Nott'm Forest;
Leeds United;Leeds;
Huddersfield Town;Huddersfield;
Ipswich Town;Ipswich;
Coventry City;Coventry;
Wigan Athletic;Wigan;
FC Watford;Watford;
AFC Bournemouth;Bournemouth;
Charlton Athletic;Charlton;
Brighton & Hove Albion;Brighton;
Cardiff City;Cardiff;
FC Millwall;Millwall;
Doncaster Rovers;Doncaster;
Peterborough United;Peterboro;
FC Barnsley;Barnsley;
Scunthorpe United;Scunthorpe;
Yeovil Town;Yeovil;
Preston North End;Preston;
Wolverhampton Wanderers;Wolves;
Plymouth Argyle;Plymouth;*
FC Portsmouth;Portsmouth;*
OGC Nizza;Nice;
FC Stade Rennes;Rennes;
FC Sochaux-Montbéliard;Sochaux;
FC Girondins Bordeaux;Bordeaux;
US Boulogne;Boulogne;*
